name,roll_no,email,branch,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,communication_score,internship,projects,backlogs,placed
Student_001,ROLL0001,student001@college.edu,CE,7.52,69.64,59.71,54,66,92,1,4,3,0
Student_002,ROLL0002,student002@college.edu,EEE,7.07,77.33,94.25,32,84,33,2,4,1,1
Student_003,ROLL0003,student003@college.edu,ME,7.3,87.88,86.65,46,48,67,0,0,1,1
Student_004,ROLL0004,student004@college.edu,EEE,7.8,62.68,78.99,41,69,56,0,3,0,1
Student_005,ROLL0005,student005@college.edu,EEE,6.38,76.6,69.28,83,32,38,0,3,2,0
Student_006,ROLL0006,student006@college.edu,ECE,9.29,66.6,60.49,53,20,45,1,1,1,1
Student_007,ROLL0007,student007@college.edu,ME,6.19,89.34,67.53,58,53,85,0,1,2,0
Student_008,ROLL0008,student008@college.edu,ME,5.99,56.72,85.06,72,67,60,2,5,1,1
Student_009,ROLL0009,student009@college.edu,ME,8.36,68.29,94.62,54,96,43,1,5,4,1
Student_010,ROLL0010,student010@college.edu,EEE,7.99,79.53,90.52,89,67,54,1,1,4,1
Student_011,ROLL0011,student011@college.edu,CE,7.82,93.79,66.13,94,68,63,0,5,0,1
Student_012,ROLL0012,student012@college.edu,ME,7.83,74.21,58.56,57,83,96,2,2,0,1
Student_013,ROLL0013,student013@college.edu,IT,7.19,68.34,73.69,45,80,53,1,1,2,1
Student_014,ROLL0014,student014@college.edu,EEE,6.3,97.57,50.78,76,48,55,1,3,1,1
Student_015,ROLL0015,student015@college.edu,ECE,7.28,57.62,75.88,87,58,49,0,2,3,0
Student_016,ROLL0016,student016@college.edu,CE,6.52,48.61,70.23,56,45,93,0,5,0,1
Student_017,ROLL0017,student017@college.edu,IT,8.18,80.28,66.41,82,36,39,2,4,3,1
Student_018,ROLL0018,student018@college.edu,IT,7.05,68.98,52.86,71,90,96,0,0,3,1
Student_019,ROLL0019,student019@college.edu,ECE,6.37,62.75,78.16,88,32,53,2,1,1,1
Student_020,ROLL0020,student020@college.edu,CE,6.88,83.5,65.61,76,88,34,1,4,2,1
Student_021,ROLL0021,student021@college.edu,EEE,7.61,77.93,57.96,63,45,96,2,5,1,1
Student_022,ROLL0022,student022@college.edu,CSE,6.64,68.23,40.0,66,68,87,2,3,0,1
Student_023,ROLL0023,student023@college.edu,CE,6.38,59.64,71.67,35,86,56,2,0,3,1
Student_024,ROLL0024,student024@college.edu,ECE,7.44,85.47,93.27,36,26,44,1,4,1,1
Student_025,ROLL0025,student025@college.edu,IT,7.44,82.8,91.94,54,77,64,0,0,1,1
Student_026,ROLL0026,student026@college.edu,EEE,6.69,73.81,66.51,62,68,82,1,1,1,1
Student_027,ROLL0027,student027@college.edu,CE,6.73,97.16,64.77,84,72,73,0,5,0,1
Student_028,ROLL0028,student028@college.edu,CSE,7.43,62.16,77.63,87,84,55,2,3,2,1
Student_029,ROLL0029,student029@college.edu,CSE,5.75,56.69,60.02,36,81,76,2,5,1,1
Student_030,ROLL0030,student030@college.edu,ME,5.79,66.7,75.62,86,36,63,2,0,0,1
Student_031,ROLL0031,student031@college.edu,ME,6.48,74.45,81.19,41,62,79,2,4,3,0
Student_032,ROLL0032,student032@college.edu,ECE,6.99,77.92,86.72,45,44,41,2,1,4,1
